2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2023-04-16|14:30:45|Grocery shopping|Walmart|-120.35
2023-04-17|09:05:10|Gasoline|Shell|-45.00
2023-04-18|12:30:00|Monthly rent payment|ABC Apartments|-2000.00
2023-04-19|15:20:30|Dinner with friends|Cheesecake Factory|-85.20
2023-04-21|08:45:00|Salary deposit|ABC Company|5000.00
2023-04-23|14:00:15|Haircut|Mario's Barber Shop|-35.00
2023-04-24|16:10:00|Online course subscription|Udemy|-70.00
2023-10-24|16:10:00|OCT|Udemy|-70.00
2022-12-31|16:10:00|SEPT|Udemy|-70.00
2022-09-24|16:10:00|Some books|Udemy|-70.00
2022-10-01|16:10:00|ya|Udemy|-70.00
2022-01-01|16:10:00|Online course subscription|Udemy|-70.00
2023-01-01|16:10:00|Online course subscription|Udemy|-70.00
2023-10-24|12:45:50|bonus|job|1000.0
2023-10-25|23:14:23|food|Uber Eats|-23.0
2023-10-23|23:43:22|food|Uber Eats|-32.0
2023-12-20|23:13:20|drink|starbucks|-5.0
2023-12-23|23:12:20|snackies|7-11|-5.0
2023-10-23|17:23:40|bonus|job|400.0
2023-04-23|23:13:22|bonus|Year Up|50.0
2023-10-14|12:30|job|Company Cool|2000.0
